Human_HSP70A9_mitochondrial	L_negl.0067762	62.405	657	234	4	2	657	19	663	0.0	824
Human_HSP70A9_mitochondrial	L_negl.0119248	51.718	611	280	8	53	652	39	645	0.0	596
Human_HSP70A9_mitochondrial	L_negl.0098315	50.856	584	269	9	49	622	45	620	0.0	580
Human_HSP70A5_ER	L_negl.0119248	81.221	639	108	2	27	654	38	675	0.0	1056
Human_HSP70A5_ER	L_negl.0098315	66.208	654	211	7	2	654	22	666	0.0	879
Human_HSP70A5_ER	L_negl.0032475	55.052	574	243	6	76	637	1	571	0.0	603
Human_HSP70A5_ER	L_negl.0067762	50.327	612	288	8	28	635	59	658	0.0	588
Human_HSP701A_cytoplasm	L_negl.0119248	64.967	608	208	4	6	611	41	645	0.0	797
Human_HSP701A_cytoplasm	L_negl.0098315	60.359	613	236	5	7	619	52	657	0.0	773
Human_HSP701A_cytoplasm	L_negl.0032475	61.131	566	210	4	51	607	1	565	0.0	696
Human_HSP701A_cytoplasm	L_negl.0067762	49.756	615	283	12	7	612	62	659	0.0	557
Human_	L_negl.0119248	64.967	608	208	4	6	611	41	645	0.0	797
Human_	L_negl.0098315	60.359	613	236	5	7	619	52	657	0.0	773
Human_	L_negl.0032475	61.131	566	210	4	51	607	1	565	0.0	696
Human_	L_negl.0067762	49.756	615	283	12	7	612	62	659	0.0	557
Drosophila_HSP70Aa_cytoplasm	L_negl.0119248	61.084	609	230	5	3	608	41	645	0.0	748
Drosophila_HSP70Aa_cytoplasm	L_negl.0098315	57.767	618	251	5	2	619	50	657	0.0	734
Drosophila_HSP70Aa_cytoplasm	L_negl.0032475	57.618	571	232	4	48	609	1	570	0.0	655
Drosophila_HSP70Aa_cytoplasm	L_negl.0067762	48.867	618	290	12	4	612	62	662	0.0	553
Drosophila_HSP70Ba_cytoplasm	L_negl.0119248	60.920	609	231	5	3	608	41	645	0.0	749
Drosophila_HSP70Ba_cytoplasm	L_negl.0098315	58.564	613	246	5	2	614	50	654	0.0	740
Drosophila_HSP70Ba_cytoplasm	L_negl.0032475	57.793	571	231	4	48	609	1	570	0.0	657
Drosophila_HSP70Ba_cytoplasm	L_negl.0067762	48.544	618	292	12	4	612	62	662	0.0	551
Drosophila_HSP70C_ER	L_negl.0119248	83.717	608	99	0	28	635	38	645	0.0	1045
Drosophila_HSP70C_ER	L_negl.0098315	65.902	654	208	7	3	656	28	666	0.0	876
Drosophila_HSP70C_ER	L_negl.0067762	50.729	617	279	9	29	636	59	659	0.0	581
Drosophila_HSP70C_ER	L_negl.0032475	52.456	570	257	5	77	634	1	568	0.0	574
Drosophila_HSP70_mitochondrial	L_negl.0067762	61.985	655	230	5	1	654	24	660	0.0	812
Drosophila_HSP70_mitochondrial	L_negl.0119248	53.497	572	252	9	52	615	39	604	0.0	570
Drosophila_HSP70_mitochondrial	L_negl.0098315	48.739	595	290	10	49	635	46	633	0.0	550
