Human_HSP70A9_mitochondrial	B_tued.0011948	82.105	570	102	0	44	613	51	620	0.0	982
Human_HSP70A9_mitochondrial	B_tued.0011947	82.105	570	102	0	44	613	63	632	0.0	982
Human_HSP70A5_ER	B_tued.0011948	55.738	549	226	8	28	570	60	597	0.0	580
Human_HSP70A5_ER	B_tued.0011947	54.982	562	235	9	28	582	72	622	0.0	580
Human_HSP701A_cytoplasm	B_tued.0011948	52.313	562	244	9	3	555	59	605	0.0	552
Human_HSP701A_cytoplasm	B_tued.0011947	52.313	562	244	9	3	555	71	617	0.0	551
Human_	B_tued.0011948	52.313	562	244	9	3	555	59	605	0.0	552
Human_	B_tued.0011947	52.313	562	244	9	3	555	71	617	0.0	551
Drosophila_HSP70Aa_cytoplasm	B_tued.0011948	52.158	556	245	9	5	553	64	605	0.0	543
Drosophila_HSP70Aa_cytoplasm	B_tued.0011947	52.158	556	245	9	5	553	76	617	0.0	542
Drosophila_HSP70Ba_cytoplasm	B_tued.0011948	51.799	556	247	9	5	553	64	605	0.0	542
Drosophila_HSP70Ba_cytoplasm	B_tued.0011947	51.799	556	247	9	5	553	76	617	0.0	542
Drosophila_HSP70C_ER	B_tued.0011948	53.229	573	249	9	29	595	60	619	0.0	571
Drosophila_HSP70C_ER	B_tued.0011947	53.229	573	249	9	29	595	72	631	0.0	570
Drosophila_HSP70_mitochondrial	B_tued.0011948	79.262	569	117	1	45	613	53	620	0.0	937
Drosophila_HSP70_mitochondrial	B_tued.0011947	79.262	569	117	1	45	613	65	632	0.0	936
